case_name,mesh,element_type,stiffness_model,kernel,algorithm,threads,status,skip_reason,repeat_count,rel_l2,max_abs,measurement_mode,symbolic_ms_mean,symbolic_ms_min,symbolic_ms_max,symbolic_ms_std,numeric_ms_mean,numeric_ms_min,numeric_ms_max,numeric_ms_std,symbolic_numeric_total_ms_mean,symbolic_numeric_total_ms_min,symbolic_numeric_total_ms_max,symbolic_numeric_total_ms_std,isolated_peak_rss_mb_mean,isolated_peak_rss_mb_min,isolated_peak_rss_mb_max,isolated_peak_rss_mb_std
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_lock_guard,4,PASS,,3,1.7106967860727402e-17,0.005859375,isolated,3988.307638,3982.195576,3993.631067,4.701706846,1042.53586,1041.175237,1044.413718,1.371760268,5030.843498,5026.609294,5034.806304,3.351913473,3094.639323,3094.601562,3094.707031,0.0479831536
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_lock_guard,5,PASS,,3,9.1553360738599412e-17,0.005859375,isolated,3988.637806,3979.126303,3996.195277,7.104043318,911.1558003,904.793827,919.974385,6.43627945,4899.793606,4887.825492,4916.169662,11.98389079,3094.65625,3094.601562,3094.726562,0.05221332944
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_lock_guard,6,PASS,,3,1.5028613066297761e-17,0.0048828125,isolated,3987.225651,3978.611653,3996.243921,7.204017213,803.949717,802.991731,804.60505,0.6925309513,4791.175368,4782.864023,4800.848971,7.405241394,3094.613281,3094.515625,3094.722656,0.08492530036
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_lock_guard,7,PASS,,3,1.0915307014818661e-16,0.005859375,isolated,3992.340309,3982.913483,4006.033759,9.90925006,731.6448743,731.119073,732.312191,0.4972608857,4723.985183,4715.225674,4737.537118,9.718561058,3094.56901,3094.515625,3094.628906,0.04647533088
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_lock_guard,8,PASS,,3,9.8325874710668071e-17,0.0068359375,isolated,3980.810325,3977.438176,3983.243567,2.461273382,680.6076787,678.891759,681.879781,1.259576447,4661.418003,4658.489672,4663.629012,2.158567081,3094.679687,3094.570312,3094.769531,0.08249511902
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_lock_guard,9,PASS,,3,1.1646351330815803e-16,0.0068359375,isolated,3973.601429,3971.710149,3975.342642,1.486750658,634.974226,633.427021,637.936559,2.095379629,4608.575655,4605.269247,4613.279201,3.416024796,3094.60026,3094.574219,3094.625,0.02075167852
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_lock_guard,10,PASS,,3,1.2830723892467238e-16,0.005859375,isolated,3980.777348,3977.641558,3985.143743,3.183968977,611.288036,610.888925,612.051745,0.5402075924,4592.065384,4588.564996,4597.195488,3.707050072,3094.639323,3094.617188,3094.683594,0.03130408861
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_lock_guard,11,PASS,,3,1.3726760472156922e-16,0.0068359375,isolated,3977.150815,3972.1232,3983.021799,4.489121492,595.8266083,595.236926,596.620673,0.5831055043,4572.977424,4567.745426,4578.258725,4.292177932,3094.6875,3094.632812,3094.761719,0.05440801799
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_lock_guard,12,PASS,,3,2.0958417359419244e-17,0.005859375,isolated,3976.711422,3970.357977,3980.977827,4.579818596,593.236559,592.157816,594.350894,0.895674,4569.947981,4564.708871,4574.178794,3.931272783,3094.597656,3094.542969,3094.625,0.03866978424
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_lock_guard,13,PASS,,3,1.4842830570398473e-16,0.005859375,isolated,3977.67771,3961.628559,3985.874002,11.3493298,577.461677,575.367436,579.094673,1.556199243,4555.139387,4540.723232,4563.796924,10.26223115,3094.597656,3094.539062,3094.660156,0.0495135122
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_lock_guard,14,PASS,,3,1.5082065367772497e-16,0.0068359375,isolated,3992.848171,3974.918269,4021.370558,20.38961062,561.8608193,561.396139,562.263953,0.3569465682,4554.708991,4536.314408,4583.634511,20.7038406,3094.619792,3094.535156,3094.71875,0.07563307607
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_lock_guard,15,PASS,,3,1.5140540049020181e-16,0.0078125,isolated,3983.897567,3981.117228,3985.846428,2.018225415,563.0202367,562.169493,564.122088,0.816679498,4546.917804,4543.286721,4549.968516,2.75852847,3094.605469,3094.570312,3094.640625,0.02870516205
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_lock_guard,16,PASS,,3,1.5029126290167855e-16,0.0068359375,isolated,3994.136545,3985.432856,4005.691329,8.512656928,559.369106,557.325535,561.60268,1.751298222,4553.505651,4544.611959,4563.016864,7.526448112,3094.591146,3094.546875,3094.617188,0.03146640349
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_lock_guard,17,PASS,,3,1.5240484827020053e-16,0.005859375,isolated,4000.493342,3994.080428,4006.230172,4.983097184,550.6517283,544.351884,554.030046,4.458564303,4551.14507,4548.110474,4554.74268,2.736698459,3094.638021,3094.5625,3094.722656,0.06570029906
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_lock_guard,18,PASS,,3,1.4866701518934279e-16,0.0078125,isolated,4000.645379,3991.52869,4014.013859,9.659330447,551.0713273,548.098434,555.158585,2.988063915,4551.716707,4539.627124,4563.970822,9.938954047,3094.627604,3094.539062,3094.765625,0.09888992811
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_lock_guard,19,PASS,,3,1.5031009904859941e-16,0.0068359375,isolated,4015.230658,4006.339718,4022.07415,6.584685266,547.8892177,544.341012,554.739096,4.844640992,4563.119876,4561.078814,4566.661695,2.514139382,3094.609375,3094.558594,3094.667969,0.04499262816
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_lock_guard,20,PASS,,3,1.4749834908756838e-16,0.005859375,isolated,3998.378937,3983.939625,4014.56339,12.56285217,548.1901647,543.075217,552.491799,3.887082288,4546.569102,4527.014842,4567.055189,16.35967753,3094.71875,3094.691406,3094.757812,0.02834824592
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_graph_coloring,1,PASS,,3,1.2259391724731836e-16,0.0048828125,isolated,3788.247583,3767.951225,3812.752582,18.53060329,1326.596884,1325.139935,1329.243912,1.87489961,5114.844467,5093.09116,5138.159387,18.4321322,2150.373698,2150.316406,2150.40625,0.04063690264
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_graph_coloring,2,PASS,,3,1.2259391724731836e-16,0.0048828125,isolated,3787.204561,3783.807463,3789.650644,2.478442145,720.8716737,716.389321,726.807265,4.375485974,4508.076235,4503.225898,4514.962841,5.003249168,2150.378906,2150.34375,2150.40625,0.02610671459
